,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
1673,800000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,150.0,4.0,3.0,4.0
1674,650000.0,Adrianópolis,Centro-Sul,Apartamentos,250.0,3.0,2.0,3.0
1675,200134.0,Tarumã,Oeste,Apartamentos,70.0,2.0,1.0,1.0
1676,850000.0,Ponta Negra,Oeste,Casas,245.0,3.0,4.0,5.0
1677,900000.0,Adrianópolis,Centro-Sul,Apartamentos,120.0,3.0,2.0,4.0
1678,1800000.0,Ponta Negra,Oeste,Casas,500.0,3.0,4.0,5.0
1679,850000.0,Tarumã,Oeste,Casas,764.0,5.0,5.0,2.0
1680,500000.0,Parque 10 de Novembro,Centro-Sul,Casas,180.0,3.0,3.0,3.0
1682,3000000.0,Ponta Negra,Oeste,Casas,464.0,4.0,2.0,5.0
1684,220148.0,Novo Aleixo,Norte,Casas,80.0,2.0,2.0,2.0
1686,700000.0,Ponta Negra,Oeste,Casas,303.0,2.0,4.0,3.0
1688,180000.0,Petrópolis,Sul,Casas,350.0,3.0,2.0,2.0
1689,1170000.0,Ponta Negra,Oeste,Apartamentos,127.0,3.0,3.0,4.0
1690,250000.0,Flores,Centro-Sul,Casas,85.0,3.0,2.0,2.0
1692,140000.0,Tarumã-Açu,Oeste,Casas,63.0,3.0,2.0,2.0
1693,4900000.0,Chapada,Centro-Sul,Apartamentos,500.0,3.0,4.0,4.0
1694,480000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,103.0,4.0,2.0,3.0
1697,188410.0,Gilberto Mestrinho,Leste,Apartamentos,43.0,2.0,1.0,1.0
1701,1070000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,140.0,3.0,2.0,5.0
1702,528000.0,Ponta Negra,Oeste,Casas,130.0,3.0,4.0,4.0
1704,2700000.0,Aleixo,Centro-Sul,Casas,1600.0,5.0,5.0,5.0
1706,320001.0,Parque 10 de Novembro,Centro-Sul,Casas,85.0,3.0,2.0,2.0
1707,310000.0,Colônia Santo Antônio,Norte,Casas,88.0,3.0,2.0,2.0
1708,1600000.0,Flores,Centro-Sul,Casas,230.0,4.0,4.0,4.0
1709,270000.0,Cidade Nova,Norte,Casas,2478.0,3.0,1.0,1.0
1710,1850000.0,Aleixo,Centro-Sul,Casas,480.0,4.0,4.0,5.0
1711,200000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,57.0,2.0,1.0,1.0
1715,1300000.0,Ponta Negra,Oeste,Apartamentos,134.0,4.0,2.0,5.0
1716,509694.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,201.0,4.0,3.0,4.0
1717,190000.0,Cidade Nova,Norte,Casas,200.0,2.0,2.0,1.0
1718,125000.0,Novo Aleixo,Norte,Casas,180.0,2.0,1.0,1.0
1719,227031.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,48.0,2.0,1.0,2.0
1720,2400000.0,Ponta Negra,Oeste,Casas,360.0,3.0,5.0,4.0
1722,160400.0,Flores,Centro-Sul,Apartamentos,42.0,2.0,1.0,1.0
1723,1400000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,140.0,3.0,2.0,5.0
1724,1290000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,190.0,3.0,3.0,5.0
1726,300000.0,Da Paz,Centro-Oeste,Casas,300.0,1.0,3.0,1.0
1727,350000.0,Novo Aleixo,Norte,Casas,90.0,3.0,2.0,1.0
1728,40000.0,Jorge Teixeira,Leste,Casas,320.0,2.0,1.0,1.0
1730,320000.0,Tarumã-Açu,Oeste,Casas,109.0,3.0,1.0,1.0
1731,520000.0,Ponta Negra,Oeste,Casas,100.0,3.0,3.0,3.0
1732,251001.0,Dom Pedro I,Centro-Oeste,Apartamentos,72.0,3.0,1.0,2.0
1733,160122.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
1734,180000.0,Cidade Nova,Norte,Casas,140.0,2.0,2.0,2.0
1735,265133.0,Flores,Centro-Sul,Casas,90.0,3.0,2.0,2.0
1736,360000.0,Aleixo,Centro-Sul,Apartamentos,76.0,3.0,1.0,1.0
